Count,geometry,NearestPumpID
3,POINT (529308.7414200425 181031.3515464273),0
2,POINT (529312.163571333 181025.1724011325),0
1,POINT (529314.3824294576 181020.2936884186),0
1,POINT (529317.3796448297 181014.2587706869),0
4,POINT (529320.6754489439 181007.8716281414),0
2,POINT (529336.6841539462 181006.0062458002),0
2,POINT (529290.1467623092 181024.365977456),0
2,POINT (529301.0228687563 181021.1763037925),0
3,POINT (529284.9986699834 181020.2036157514),1
2,POINT (529288.3593888506 181031.8300684251),1
2,POINT (529280.6092358404 181026.5716866229),1
1,POINT (529264.7208925384 181035.1979097608),1
3,POINT (529274.9319496568 181008.0377783795),1
1,POINT (529278.335029094 181002.9522615673),1
4,POINT (529281.3501256746 180997.1342803916),0
1,POINT (529259.6098062957 181010.283400582),1
1,POINT (529256.1829259214 181001.8293641622),1
1,POINT (529309.8232016254 181004.7254022619),0
4,POINT (529314.1321806902 180997.3811135707),0
3,POINT (529317.9971489708 180991.2746812742),0
2,POINT (529250.9578534282 181032.5099880845),1
1,POINT (529247.968953494 181049.2463923722),1
2,POINT (529231.4483444116 181027.6747207802),1
2,POINT (529236.7108861217 181025.2753046405),1
2,POINT (529244.0015432135 181028.9334719714),1
1,POINT (529251.0460029833 181054.7807037599),1
1,POINT (529247.03680827 181060.4622061875),1
3,POINT (529243.5699588249 181066.0990115658),1
1,POINT (529241.6246864195 181058.3965140701),1
1,POINT (529217.4110877436 181048.1610302503),1
1,POINT (529211.5197686884 181056.1817661858),1
1,POINT (529212.3404833645 181038.3135765287),1
2,POINT (529191.3004452826 181046.7091475928),1
2,POINT (529184.2457962056 181041.9394695466),1
1,POINT (529160.3373794671 181014.2058806876),1
1,POINT (529228.3415163909 181015.1536902086),1
1,POINT (529187.2729687133 180983.264855173),1
1,POINT (529213.0910012391 180978.5161384371),1
2,POINT (529213.9659311695 180970.5812131117),1
8,POINT (529222.825201924 180978.6967527611),1
2,POINT (529233.1225845387 180985.7109175696),1
1,POINT (529221.1015952806 180985.6095627383),1
1,POINT (529275.9227827799 180965.2256089845),0
1,POINT (529262.0963744993 180970.8381704768),1
1,POINT (529299.7701939486 180931.9487794676),0
1,POINT (529304.1880160359 180925.2478462077),7
4,POINT (529307.832120508 180921.2199667853),7
1,POINT (529302.2290166641 180919.5694592877),7
1,POINT (529293.0156831564 180929.8961569673),7
1,POINT (529319.4841335004 180915.9268211724),7
1,POINT (529330.5163238922 180923.8760837246),0
4,POINT (529335.3611169561 180928.9184352458),0
1,POINT (529331.1103008811 180915.7279613386),7
1,POINT (529345.127460371 180912.2948619655),0
1,POINT (529350.1732351941 180915.169307661),0
1,POINT (529353.6865182046 180910.1974326812),0
1,POINT (529377.1563009565 180935.4713363549),0
2,POINT (529362.9326183652 180947.1471770214),0
1,POINT (529371.7050565294 180952.2454801873),0
1,POINT (529326.3396912465 180980.4831103617),0
1,POINT (529338.1452647453 180959.4330061454),0
2,POINT (529346.007526291 180961.3530511218),0
1,POINT (529349.7227249583 180955.443939671),0
1,POINT (529352.8187239754 180950.5196804897),0
2,POINT (529337.8789317455 180976.0302803567),0
2,POINT (529335.35368609 180990.7126250386),0
1,POINT (529341.9202187721 180993.9067311753),0
2,POINT (529347.4254577962 180995.5541161592),0
