Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,OriginAirportName,OriginCity,OriginState,DestAirportID,DestAirportName,DestCity,DestState,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,9,16,1,DL,15304,Tampa International,Tampa,FL,12478,John F. Kennedy International,New York,NY,1539,4,0,1824,13,0,0
2013,9,23,1,WN,14122,Pittsburgh International,Pittsburgh,PA,13232,Chicago Midway International,Chicago,IL,710,3,0,740,22,1,0
2013,9,7,6,AS,14747,Seattle/Tacoma International,Seattle,WA,11278,Ronald Reagan Washington National,Washington,DC,810,-3,0,1614,-7,0,0
2013,7,22,1,OO,13930,Chicago O'Hare International,Chicago,IL,11042,Cleveland-Hopkins International,Cleveland,OH,804,35,1,1027,33,1,0
2013,5,16,4,DL,13931,Norfolk International,Norfolk,VA,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,545,-1,0,728,-9,0,0
2013,7,28,7,UA,12478,John F. Kennedy International,New York,NY,14771,San Francisco International,San Francisco,CA,1710,87,1,2035,183,1,0
2013,10,6,7,WN,13796,Metropolitan Oakland International,Oakland,CA,12191,William P Hobby,Houston,TX,630,-1,0,1210,-3,0,0
2013,7,28,7,EV,12264,Washington Dulles International,Washington,DC,14524,Richmond International,Richmond,VA,2218,4,0,2301,15,1,0
2013,10,8,2,AA,13930,Chicago O'Hare International,Chicago,IL,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,1010,8,0,1240,-10,0,0
2013,5,12,7,UA,12478,John F. Kennedy International,New York,NY,12892,Los Angeles International,Los Angeles,CA,1759,40,1,2107,10,0,0
2013,6,9,7,OO,12892,Los Angeles International,Los Angeles,CA,14679,San Diego International,San Diego,CA,1404,3,0,1507,-8,0,0
2013,7,21,7,AA,13204,Orlando International,Orlando,FL,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,930,10,0,1110,-4,0,0
2013,8,4,7,WN,10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,14730,Louisville International-Standiford Field,Louisville,KY,2020,1,0,2155,-4,0,0
2013,7,17,3,AA,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,13487,Minneapolis-St Paul International,Minneapolis,MN,2025,95,1,2245,90,1,0
2013,10,20,7,AS,14107,Phoenix Sky Harbor International,Phoenix,AZ,14747,Seattle/Tacoma International,Seattle,WA,1330,-11,0,1628,-15,0,0
2013,4,14,7,AA,12892,Los Angeles International,Los Angeles,CA,13830,Kahului Airport,Kahului,HI,1730,-7,0,2010,26,1,0
2013,10,31,4,MQ,11057,Charlotte Douglas International,Charlotte,NC,12953,LaGuardia,New York,NY,1630,28,1,1830,26,1,0
2013,10,11,5,DL,12889,McCarran International,Las Vegas,NV,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,715,-3,0,1403,-11,0,0
2013,8,3,6,DL,12892,Los Angeles International,Los Angeles,CA,15304,Tampa International,Tampa,FL,2240,4,0,626,-5,0,0
2013,6,4,2,US,14107,Phoenix Sky Harbor International,Phoenix,AZ,14057,Portland International,Portland,OR,1020,-5,0,1302,1,0,0
2013,9,23,1,WN,12191,William P Hobby,Houston,TX,10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,655,0,0,1055,-16,0,0
2013,9,17,2,UA,11292,Denver International,Denver,CO,13930,Chicago O'Hare International,Chicago,IL,1702,5,0,2023,-12,0,0
2013,10,4,5,DL,11433,Detroit Metro Wayne County,Detroit,MI,10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,1403,-2,0,1539,-14,0,0
2013,4,19,5,AA,13204,Orlando International,Orlando,FL,13303,Miami International,Miami,FL,1405,-8,0,1510,0,0,0
2013,8,24,6,OO,13871,Eppley Airfield,Omaha,NE,13487,Minneapolis-St Paul International,Minneapolis,MN,1100,-20,0,1212,-16,0,0
2013,7,17,3,WN,14893,Sacramento International,Sacramento,CA,13891,Ontario International,Ontario,CA,2010,-4,0,2125,-4,0,0
2013,10,19,6,YV,11057,Charlotte Douglas International,Charlotte,NC,14683,San Antonio International,San Antonio,TX,1138,47,1,1336,54,1,0
2013,8,16,5,FL,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,10721,Logan International,Boston,MA,1435,1,0,1657,-6,0,0
2013,7,18,4,F9,11292,Denver International,Denver,CO,13871,Eppley Airfield,Omaha,NE,2000,29,1,2222,25,1,0
2013,4,9,2,WN,14893,Sacramento International,Sacramento,CA,14908,John Wayne Airport-Orange County,Santa Ana,CA,1155,-2,0,1320,1,0,0
2013,5,16,4,AS,12892,Los Angeles International,Los Angeles,CA,14057,Portland International,Portland,OR,835,-4,0,1054,-5,0,0
2013,7,20,6,FL,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,12339,Indianapolis International,Indianapolis,IN,1206,7,0,1333,9,0,0
2013,6,13,4,OO,14869,Salt Lake City International,Salt Lake City,UT,13198,Kansas City International,Kansas City,MO,957,2,0,1325,0,0,0
2013,10,28,1,B6,12889,McCarran International,Las Vegas,NV,12954,Long Beach Airport,Long Beach,CA,1445,-3,0,1551,8,0,0
2013,8,13,2,WN,14893,Sacramento International,Sacramento,CA,12892,Los Angeles International,Los Angeles,CA,1405,11,0,1525,8,0,0
2013,9,22,7,AA,12892,Los Angeles International,Los Angeles,CA,10693,Nashville International,Nashville,TN,2250,-5,0,445,-20,0,0
2013,4,29,1,AA,12889,McCarran International,Las Vegas,NV,12892,Los Angeles International,Los Angeles,CA,1005,-7,0,1120,-9,0,0
2013,6,16,7,US,14107,Phoenix Sky Harbor International,Phoenix,AZ,12173,Honolulu International,Honolulu,HI,1035,8,0,1409,23,1,0
2013,6,9,7,B6,10721,Logan International,Boston,MA,10792,Buffalo Niagara International,Buffalo,NY,730,-4,0,859,-9,0,0
2013,10,27,7,FL,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,13342,General Mitchell International,Milwaukee,WI,850,17,1,935,34,1,0
2013,7,1,1,VX,12892,Los Angeles International,Los Angeles,CA,14831,Norman Y. Mineta San Jose International,San Jose,CA,700,1,0,810,-9,0,0
2013,8,11,7,UA,14771,San Francisco International,San Francisco,CA,12478,John F. Kennedy International,New York,NY,1048,137,1,1920,151,1,0
2013,4,12,5,OO,12266,George Bush Intercontinental/Houston,Houston,TX,13851,Will Rogers World,Oklahoma City,OK,1252,-2,0,1414,-5,0,0
2013,5,11,6,UA,12264,Washington Dulles International,Washington,DC,13204,Orlando International,Orlando,FL,2151,-4,0,2359,2,0,0
2013,10,5,6,WN,14683,San Antonio International,San Antonio,TX,10693,Nashville International,Nashville,TN,1400,2,0,1610,-10,0,0
2013,9,7,6,VX,14771,San Francisco International,San Francisco,CA,10423,Austin - Bergstrom International,Austin,TX,1015,-3,0,1545,-3,0,0
2013,6,2,7,AS,14771,San Francisco International,San Francisco,CA,14747,Seattle/Tacoma International,Seattle,WA,915,-3,0,1115,-6,0,0
2013,7,25,4,MQ,13930,Chicago O'Hare International,Chicago,IL,12451,Jacksonville International,Jacksonville,FL,1245,-1,0,1605,7,0,0
2013,5,25,6,DL,13487,Minneapolis-St Paul International,Minneapolis,MN,10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,1505,-7,0,1832,-17,0,0
2013,5,6,1,WN,14869,Salt Lake City International,Salt Lake City,UT,11292,Denver International,Denver,CO,1120,0,0,1245,-2,0,0
2013,6,29,6,DL,12889,McCarran International,Las Vegas,NV,13487,Minneapolis-St Paul International,Minneapolis,MN,1325,9,0,1828,5,0,0
2013,8,12,1,OO,13198,Kansas City International,Kansas City,MO,13930,Chicago O'Hare International,Chicago,IL,1001,16,1,1130,15,1,0
2013,8,15,4,US,11057,Charlotte Douglas International,Charlotte,NC,14492,Raleigh-Durham International,Raleigh/Durham,NC,1753,-1,0,1843,-3,0,0
2013,7,1,1,DL,11066,Port Columbus International,Columbus,OH,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,715,-1,0,846,3,0,0
2013,5,6,1,B6,12953,LaGuardia,New York,NY,11697,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,1455,88,1,1801,87,1,0
2013,10,19,6,UA,11618,Newark Liberty International,Newark,NJ,14771,San Francisco International,San Francisco,CA,1920,43,1,2245,20,1,0
2013,9,7,6,YV,11042,Cleveland-Hopkins International,Cleveland,OH,11057,Charlotte Douglas International,Charlotte,NC,705,-13,0,840,-22,0,0
2013,9,4,3,EV,13487,Minneapolis-St Paul International,Minneapolis,MN,11618,Newark Liberty International,Newark,NJ,1615,-9,0,2007,-23,0,0
2013,9,11,3,US,11618,Newark Liberty International,Newark,NJ,11057,Charlotte Douglas International,Charlotte,NC,635,-9,0,833,-17,0,0
2013,8,19,1,EV,10693,Nashville International,Nashville,TN,12953,LaGuardia,New York,NY,1010,-3,0,1325,-18,0,0
2013,8,28,3,US,14100,Philadelphia International,Philadelphia,PA,11697,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,755,-6,0,1050,-23,0,0
2013,5,6,1,WN,10529,Bradley International,Hartford,CT,12889,McCarran International,Las Vegas,NV,1405,-3,0,1645,-25,0,0
2013,10,22,2,US,14100,Philadelphia International,Philadelphia,PA,14122,Pittsburgh International,Pittsburgh,PA,1340,-8,0,1452,-14,0,0
2013,10,25,5,US,11057,Charlotte Douglas International,Charlotte,NC,14057,Portland International,Portland,OR,1815,1,0,2046,19,1,0
2013,4,14,7,WN,11433,Detroit Metro Wayne County,Detroit,MI,14107,Phoenix Sky Harbor International,Phoenix,AZ,1525,6,0,1645,14,0,0
2013,9,23,1,OO,13891,Ontario International,Ontario,CA,14771,San Francisco International,San Francisco,CA,852,-5,0,1019,-13,0,0
2013,5,5,7,9E,11057,Charlotte Douglas International,Charlotte,NC,13244,Memphis International,Memphis,TN,1805,-2,0,1846,0,0,0
2013,8,15,4,WN,12892,Los Angeles International,Los Angeles,CA,15376,Tucson International,Tucson,AZ,940,0,0,1100,-3,0,0
