DEPENDENCIA_ADMINISTRATIVA,NOTA_MEDIA_ESCOLA,TAXA_DE_APROVACAO,TAXA_DE_PARTICIPACAO
Federal,659.2583618,92.2,96.89440918
Federal,637.6467285,86.5,98.71794891
Estadual,556.7106323,82.5,74.60317993
Estadual,542.8659668,70.2,54.65116501
Estadual,557.3791504,67.0,64.86486053
Estadual,524.5081787,68.9,54.44444275
Estadual,568.4736938,81.4,74.83870697
Estadual,550.8710327,87.8,65.51724243
Estadual,533.5371704,78.6,58.20895386
Estadual,556.4154053,75.5,74.59016418
Estadual,592.6153564,77.6,81.25000000
Estadual,547.4816284,67.2,63.25581741
Estadual,520.8861084,70.2,61.01694870
Estadual,566.8580322,54.9,71.19564819
Estadual,552.7999878,56.2,60.71428680
Estadual,534.6979980,56.4,57.14286041
Estadual,545.9743042,65.7,53.23740768
Estadual,574.0567627,83.1,83.01486206
Estadual,554.4782715,58.1,52.99999619
Estadual,568.6677246,82.0,83.78378296
Estadual,547.0000000,51.3,57.50000000
Estadual,557.5644531,89.9,83.06011200
Estadual,556.5211792,78.0,53.06122208
Estadual,508.1257935,62.8,52.54236984
Estadual,561.4895630,73.5,68.86227417
Estadual,556.8735962,60.9,68.38710022
Estadual,557.2357178,76.9,70.70706940
Estadual,566.9699707,70.4,80.09259033
Estadual,535.0333252,75.9,50.00000000
Estadual,584.3588257,69.7,86.86131287
Estadual,584.6336670,67.7,77.96610260
Estadual,620.2784424,85.1,95.42857361
Estadual,586.6071167,68.2,82.35294342
Estadual,541.2744141,68.1,70.49180603
Estadual,562.5884399,77.4,78.94737244
Estadual,576.0902100,92.7,88.95349121
Estadual,574.2937012,80.8,79.24151611
Estadual,590.9378662,93.5,92.78996277
Estadual,546.3103638,84.2,75.32466888
Estadual,547.4149170,80.6,59.82142639
Estadual,518.2174683,71.6,52.49999619
Estadual,581.2680054,66.0,75.75757599
Estadual,549.4452515,71.0,57.53424835
Estadual,576.3916626,62.7,68.57143402
Estadual,553.2792969,50.7,67.44186401
Estadual,552.1526489,74.4,56.06557083
Estadual,551.4797363,83.8,62.16216278
Estadual,549.8850098,61.6,54.05405045
Estadual,534.9310303,63.3,64.44444275
Estadual,563.2608032,76.6,69.86301422
Estadual,527.2653809,76.9,78.78787994
Estadual,604.4655762,96.2,99.20634460
Estadual,526.1643066,56.3,63.63636398
Estadual,577.5020752,80.8,84.09585571
Estadual,567.6722412,86.4,63.15789032
Estadual,546.3792725,64.1,60.91954041
Estadual,582.2993164,74.1,88.22630310
Estadual,581.5723267,90.8,86.50306702
Estadual,565.4383545,88.7,65.13158417
Estadual,562.1441040,77.9,69.05371094
Estadual,541.2640991,71.2,50.64934921
Estadual,546.1049805,64.4,50.63291168
Estadual,566.2738647,91.1,74.70288849
Estadual,557.7322998,75.5,76.41921997
Estadual,548.9591675,63.6,56.07476807
Estadual,538.7212524,69.8,64.94252777
Estadual,532.8961792,82.4,61.90476227
Estadual,561.2232666,66.5,66.44737244
Estadual,559.6163330,58.3,63.44827271
Estadual,554.2534180,84.9,67.95366669
Estadual,549.8099976,56.0,53.57142639
Estadual,552.1765747,69.4,58.71559525
Estadual,564.0080566,70.6,64.58332825
Estadual,558.4531250,86.3,59.81308365
Federal,638.0176392,86.7,94.44444275
Federal,614.7500000,93.8,95.23809814
Privada,658.3812256,94.7,97.95918274
Privada,581.5181885,90.6,95.65217590
Privada,690.0599976,90.2,100.00000000
Privada,626.3083496,85.7,96.00000000
Privada,608.9761963,84.3,87.50000000
Privada,619.2666626,95.0,100.00000000
Privada,635.5461426,93.6,96.29629517
Privada,651.7402344,82.5,100.00000000
Privada,657.4595947,92.9,82.53968048
Privada,552.5818481,97.8,91.66667175
Privada,665.6306152,97.4,100.00000000
Federal,642.0125122,91.0,96.96969604
Privada,620.0440063,86.8,94.93671417
Privada,626.9849854,97.8,83.33332825
Privada,621.4733276,97.3,93.75000000
Privada,608.7735596,92.2,94.44444275
Privada,611.5581665,76.3,98.21428680
Privada,691.4202881,93.7,97.52650452
Privada,697.0410767,92.4,98.40425110
Privada,700.7008057,87.6,98.04687500
Privada,608.4500122,94.9,84.21052551
Privada,661.5527954,87.5,94.73684692
Privada,643.1108398,92.5,99.32885742
Privada,586.8560181,87.3,86.20689392
Privada,581.7791748,88.3,80.00000000
Privada,657.7126465,95.9,100.00000000
Privada,617.0551147,94.0,98.00000000
Privada,662.9362183,93.0,97.18309784
Privada,604.9559937,96.2,92.59259033
Privada,648.3721924,96.6,94.73684692
Federal,658.6795654,81.2,89.42308044
Privada,646.0733032,81.2,100.00000000
Privada,607.6826782,93.7,98.11321259
Privada,623.8967896,93.6,91.17646790
Privada,595.6689453,89.8,75.52082825
Privada,640.0958252,92.9,100.00000000
Privada,665.3764648,93.6,93.40659332
Privada,637.3062744,93.6,91.42857361
Privada,620.9500122,91.7,91.89189148
Privada,618.2312622,95.4,94.11764526
Privada,577.5636597,96.2,78.57142639
Privada,663.7874756,89.7,96.96969604
Privada,628.3126831,77.7,92.64705658
Privada,632.2323608,95.2,97.14286041
